Authors,Title,Year,Source title,Volume,Issue,Page start,Page end,Art. No.,Abstract,DOI,Document Type,Publication Stage,Open Access,Source,EID
Yu W.; Shen Y.; Liu J.; Zou W.; Huang Z.; Huang M.; Lu Y.; Ke J.; Luo X.; You W.; Ke C.,Genotype by environment interactions in feed efficiency of Pacific abalone (Haliotis discus hannai) reared at different water temperatures,2023,Aquaculture,562,,,,738764,"Genetic improvement of feed efficiency (FE) in Pacific abalone (Haliotis discus hannai) can improve farming efficiency and reduce costs. Temperature has important effects on the feeding and growth of abalone, and genotype by environment (G × E) interactions should be considered in selecting breeding programs for genetic gain. To improve the selection strategy, FE performance, genetic parameters, and G × E interactions of abalone were measured and evaluated at 17 °C, 21 °C, and 27 °C. The feed efficiency ratio (FER) showed a similar degree of phenotypic variation at all three temperatures, with the best phenotypic performance at 17 °C. The heritability of FER was high (0.55–0.72) and relatively stable at different temperatures, while the heritability of residual feed intake (RFI) changed with temperature and was 0.21 at 27 °C. The FER had a high positive genetic correlation (0.68–0.75) with specific growth rates (SGRs) and a genetic correlation ranging from 0.32 to 0.81 with food intake (FI). RFI had a low genetic correlation with growth (−0.43 to 0.03) and a high genetic correlation (0.42–0.82) with FI. The between-environment genetic correlations for FI, weight gain (WG), and FER were high (0.78–0.94). However, the RFI showed significant G × E interactions at different temperatures. By combining the performance results, genetic parameters, and G × E interactions, it was found that FER was the most suitable trait for improving abalone FE at variable temperatures in breeding programs. This study provides guidance on selective breeding strategies to improve abalone FE. © 2022 Elsevier B.V.",10.1016/j.aquaculture.2022.738764,Article,Final,,Scopus,2-s2.0-85136658067
Jia J.; Liu Q.; Liu H.; Yang C.; Zhao Q.; Xu Y.; Wu W.,Structure characterization and antioxidant activity of abalone visceral peptides-selenium in vitro,2024,Food Chemistry,433,,,,137398,"Peptide-selenium chelate is widely regarded as one of the best selenium supplements for relieving selenium deficiency. In this study, abalone visceral peptides (AVP) was used to prepare a new type of peptides-selenium chelate to develop an organic selenium supplement with antioxidant activity. AVP prepared by alcalase exhibited the highest selenium-chelating ability. UV–visible spectroscopy, fluorescence spectroscopy, Fourier transform infrared spectroscopy and other structural analysis showed that selenium was mainly bound to the functional groups of –NH, –OH, –CH, C[dbnd]C, C[dbnd]O, and C–N bonds on AVP. The formation of AVP-selenium chelate enhanced thermal stability and generated a new crystal structure. The ABTS•+ and •OH scavenging activities of AVP-selenium chelate were increased after in vitro digestion than that of AVP. Conclusively, this study analyzed the chelating mechanism of AVP and selenium from a structural perspective, which would provide a theoretical basis for the development of new selenium supplements. © 2023 Elsevier Ltd",10.1016/j.foodchem.2023.137398,Article,Final,,Scopus,2-s2.0-85170415339
Cadangin J.; Lee J.-H.; Jeon C.-Y.; Lee E.-S.; Moon J.-S.; Park S.-J.; Hur S.-W.; Jang W.-J.; Choi Y.-H.,"Effects of dietary supplementation of Bacillus, β-glucooligosaccharide and their synbiotic on the growth, digestion, immunity, and gut microbiota profile of abalone, Haliotis discus hannai",2024,Aquaculture Reports,35,,,,102027,"Probiotics, prebiotics, and synbiotics are known to improve aquatic animals' growth and health conditions. In this study, we investigated the effect of Bacillus sp. KRF-7 (KRF-7), Bacillus sp. PM8313 (PM8313), β-glucooligosaccharide (BGO), and their synbiotics on the growth, digestive physiology, immunity, and gut microbiota of abalone, Haliotis discus hannai. The control diet (CON) was sprayed with 108 CFU/g KRF-7 (PRO1) or PM8313 (PRO2) as probiotics, 0.10% BGO (PRE) as prebiotic, and their combinations (SYN1: PRO1 + BGO; SYN2: PRO2+ BGO) as synbiotic treatments. These diets (triplicates) were given once daily to the abalone (initial body weight: 1.32 ± 0.05 g, initial shell length: 21. 69 ± 0.19 mm) for 12 weeks. The results showed that the PRE diet induced a significant 15% shell length and body weight increase against the CON (SLGR: 45.77% vs. 53.04%; WGR: 182.77% vs. 210.22%), the highest among dietary supplements (P < 0.05). The level of IGF and IGFBP in the cell-free hemolymph, protein expression of IGF signaling, and gene expression of myosin heavy chain in the adductor muscle increased significantly (P < 0.05) following dietary supplementation. Correspondingly, PRE-, PRO1-, and PRO2-fed abalone had the highest trypsin, lipase, and amylase secretion in the hepatopancreas (P < 0.05) and increased histomorphometry (stomach epithelial thickness and intestinal villi height) (P < 0.05). Regarding antioxidative capacity and immunity, the hepatopancreatic expression of SOD, CAT, IRAK-4, NF-Kb, TNF-α, and β-defensin were significantly upregulated in abalone fed with dietary additives compared to the CON (P < 0.05). In terms of gut microbiota profile, PRE-fed abalone had a significant reduction in microbial richness (P < 0.05). The phylum level was similarly occupied, while a diet-specific core microbiota at the genus level was apparent. The findings illustrated that BGO, KRF-7, and PM8313 can be used in abalone aquaculture as growth-promoting and immune-stimulating supplements. © 2024 The Authors",10.1016/j.aqrep.2024.102027,Article,Final,All Open Access; Gold Open Access,Scopus,2-s2.0-85187951752
Ma Y.-B.; Zou W.-G.; Liu Y.-B.; Ai C.-X.; You W.-W.; Huang H.-Q.; Chen Y.-X.; Luo X.; Ke C.-H.,Optimized formula for the hybrid abalone Haliotis discus hannai♀ × H. fulgens♂: Betaine supplementation increases the use of rice bran meal as a replacement for kelp,2024,Aquaculture,579,,,,740161,"Two trials were conducted to determine the optimal replacement level of rice bran meal (RBM) as a substitute for kelp meal (KM) in the diet of the hybrid abalone Haliotis discus hannai ♀ × H. fulgens ♂. This study also investigated whether betaine as an attractant supplementation could be used to facilitate RBM as a replacement for KM. In Trial 1, RBM was used to replace 25%, 50%, and 100% of the dietary KM (RBM25, RBM50, and RBM100, respectively) based on a diet containing 30% KM (Con). In Trial 2, RBM50 was the same as in Trial 1, and betaine was supplemented in RBM50 at 0.2% (B1), 0.4% (B2), and 0.8% (B3) in the diets. Abalone (weight approximately 4 g) were randomly assigned to four groups replicated in triplicate (60 abalone/replicate). The abalone were fed the experimental diets for 10 weeks. In Trial 1, compared to the Con group, no significant differences were observed in final weight (FW), final shell length (FSL), specific growth rate (SGR), or daily increment in shell length (DISL) at 25% KM replacement by RBM. However, 50% KM replacement significantly reduced the FW, FSL, SGR, and DISL compared to the Con group. There were no significant differences in the proximate composition of the soft body tissues of the abalone. In Trial 2, growth performance parameters of the hybrid abalone were significantly improved with increasing levels of betaine in the diets compared to those fed diet RBM50, reaching the maximum value in the B2 group. Consistent with the feed intake results, the hormone concentrations of neuropeptide Y (NPY) and orexins in the digestive gland and cerebral ganglia of abalone were significantly increased when the supplementation level of betaine in the diets was increased to 0.2%. However, no apparent impacts were observed on NPY or orexin concentrations among the B1, B2, and B3 groups. Finally, we suggest 0.4% betaine supplementation along with replacing 50% of the KM with RBM in the hybrid abalone diet. The optimal diet is a cost-effective alternative feed formulation that can reduce the dependence on KM for abalone production in China. This study also demonstrates the potential of betaine as a feed attractant in abalone aquaculture. © 2023 Elsevier B.V.",10.1016/j.aquaculture.2023.740161,Article,Final,,Scopus,2-s2.0-85173270707
Li L.; Qiao K.; Qi J.; Wen P.; Fang M.; Guo S.; Liu Z.; Lin Q.; Zeng Q.,"Effects of two processing methods of Sesuvium portulacastrum diet on culture performance, nutrient composition, and muscle texture properties of Haliotis discus hannai; [两种加工方式的海马齿饵料对皱纹盘鲍生产性能、肌肉营养及质构特性的影响]",2024,Journal of Fishery Sciences of China,31,9,1090,1104,,"The increase in feed costs has significantly impacted the sustainable development of the Chinese abalone industry. The halophyte sea purslane (Sesuvium portulacastrum) is nutritionally valuable and shows potential as a novel bait source for abalone. We analyzed the nutrient composition of blanched and salted sea purslane to assess the value of sea purslane as abalone feed. Subsequently, blanched and salted sea purslane were separately used as the sole feed for Pacific abalone (Haliotis discus hannai) with the same specifications in each group (shell length: 5.161±0.315 cm, body weight: 16.90±3.07 g). The red alga Gracilaria lemaneiformis served as the control feed. The abalone were feed once every 4 days over an 80-day culture cycle, with sufficient feed dispensed each time to ensure the provision of adequate feed and the generation of leftovers. There were four main findings. First, moisture, energy, crude protein (dry basis), crude fat, carbohydrate, and ash contents were (89.08± 0.01)%, (103.44±0.15) kJ/100 g, (12.49±0.28)%, (2.93±0.06)%, (20.34±0.28)%, and (29.10±0.08)%, respectively, for blanched sea purslane and (59.37±0.04)%, (139.38±0.79) kJ/100 g, (4.16±0.08)%, (1.25±0.01)%, (5.74±0.18)%, and (72.80±0.05)%, respectively, for salted sea purslane. Both types of sea purslane feed contained 18 amino acids, indicating a comprehensive amino acid profile that was relatively close to that of Pacific abalone muscle in terms of the presence of 11 important amino acids. Second, the two types of sea purslane feed significantly influenced the feed intake (FI) and feed conversion ratio (FCR) of Pacific abalone (P<0.05). The FI and FCR were highest in abalone that fed on salted sea purslane and lowest in abalone that fed on G. lemaneiformis. Neither type of sea purslane feed significantly influenced the survival rate, average daily shell length gain, average daily body weight gain, specific growth rate of shell length, specific growth rate of body weight, condition factor, or meat yield of Pacific abalone (P>0.05). Third, both types of sea purslane feed significantly increased the ash content and reduced the moisture, collagen, and total amino acid contents of Pacific abalone muscle (P<0.05); however, they did not significantly influence the crude fat content, essential amino acids/total amino acids ratio, first limiting amino acid content(P>0.05). The sea purslane feed could increase the linoleic acid and α-linolenic contents of Pacific abalone muscle. Fourth, there were no significant differences in the influence of the two types of sea purslane feed on the springiness and resilience of Pacific abalone muscle tissue (P>0.05). However, blanched sea purslane significantly reduced the hardness and chewiness of the muscle tissue (P<0.05), while salted sea purslane significantly increased the hardness of the muscle tissue (P<0.05). In conclusion, both types of sea purslane feed can replace G. lemaneiformis as feed for Pacific abalone within an 80-day culture cycle. Pacific abalone fed with sea purslane had good production performance and nutritional value, with salted purslane contributing to improved abalone muscle texture. © (2024), (Chinese Academy of Fishery Sciences). All rights reserved.",10.12264/JFSC2024-0100,Article,Final,,Scopus,2-s2.0-85211355943
Rai S.,Implementation of biomimicry for advanced impact-resistant composites: Advanced manufacturing techniques,2024,Composites: Modeling and Manufacturing,,,166,179,,"Biomimicry is a novel strategy that uses nature's design principles to address an existing problem. It is an intriguing subject that involves biology, engineering, design, and materials science. Biomimicry for impact resistance designs is able to draw inspiration from a range of species, including molluscs like abalone, arthropods such as beetles and crustaceans, fish scales, and creatures like mantis shrimp and armadillos, each presenting distinct structural and defence mechanisms. In addition, helicoidal designs, bone-like structures, sutures, and tubular arrangements in nature are investigated for their impact-resistant characteristics and toughening mechanisms. Implementing biomimicry involves examining nature's details for a specific problem and then shifting those concepts into novel designs or processes. Interestingly, creating actual engineering product requires advanced manufacturing techniques utilising existing resources (or fabrication facilities) such as slip casting, powder metallurgy, additive manufacturing, and so on. These manufacturing methods are also discussed in detail, along with appropriate examples, for the fabrication of bioinspired composites. Overall, the chapter combines and addresses the idea of biomimicry, as well as the application of its concepts to actual products using advanced manufacturing processes for impact-resistant structures. © 2025 selection and editorial matter, Vijay Kumar Singh, Nishant Kumar Singh and Yashvir Singh; individual chapters, the contributors.",10.1201/9781003564355-10,Book chapter,Final,,Scopus,2-s2.0-85214611574
Zou W.; Hong J.; Yu W.; Ma Y.; Gan J.; Liu Y.; Luo X.; You W.; Ke C.,Comprehensive Comparison of Effects of Antioxidant (Astaxanthin) Supplementation from Different Sources in Haliotis discus hannai Diet,2023,Antioxidants,12,8,,,1641,"Dietary antioxidant supplementation, especially astaxanthin, has shown great results on reproductive aspects, egg quality, growth, survival, immunity, stress tolerance, and disease resistance in aquatic animals. However, the effects of dietary astaxanthin supplementation from different sources are still unknown. A comprehensive comparison of survival, growth, immune response, antioxidant activity, thermal resistance, disease resistance, and intestinal microbial structure was conducted in dietary antioxidant supplementation from the sources of Gracilaria lemaneiformis (GL), industrial synthetic astaxanthin (80 mg/kg astaxanthin actual weight, named as group ‘SA80’), Phaffia rhodozyma (80 mg/kg astaxanthin actual weight, named as group ‘PR80’) and Haematococcus pluvialis (120 mg/kg astaxanthin actual weight, named as group ‘HP120’) at their optimal supplementation amounts. Furthermore, the SA80, PR80, and HP120 groups performed better in all aspects, including survival, growth, immune response, antioxidant activity, thermal resistance, and disease resistance, compared with the GL group. The PR80 and HP120 group also had a better growth performance than the SA80 group. In terms of heat stress and bacterial challenge, abalone in the PR80 group showed the strongest resistance. Overall, 80 mg/kg astaxanthin supplementation from Phaffia rhodozyma was recommended to obtain a more effective and comprehensive outcome. This study contributes to the discovery of the optimum dietary astaxanthin supplementation source for abalone, which is helpful to improve the production efficiency and economic benefits of abalone. Future research can further explore the action mechanism and the method of application of astaxanthin to better exploit its antioxidant role. © 2023 by the authors.",10.3390/antiox12081641,Article,Final,All Open Access; Gold Open Access; Green Open Access,Scopus,2-s2.0-85169120891
Lebata-Ramos M.J.H.L.,Molluscan aquaculture in the Philippines: a review,2023,Aquaculture International,31,5,2977,3001,,"Molluscs are among the most valuable resources of the Philippines, an archipelagic country of 7,107 islands bounded by 36,000 km of coastline and 26.6 million ha of coastal waters. In 2020, production from mussels and oysters alone valued at PhP1.552 billion. As primary sources of food and livelihood for marginalized fisherfolk, they are considered important in food security, nutrition, and poverty alleviation. Nevertheless, for almost a century, mollusc culture remained small-scale, with most fish farmers investing in non-fed species, like mussels and oysters. Moreover, mollusc culture in the country is still dependent on wild sources of seed stocks, making production unsustainable and unreliable. This dependence on the wild seed stocks will continue until the issue of the lack of commercial-scale hatcheries or the limited capacity of existing hatcheries to produce seeds, both for top and emerging mollusc aquaculture species, is resolved. Although technologies from broodstock management to post-harvest are available in some species, the lack of capital and the limited government support limit these artisanal fishers from doing large commercial-scale culture. This paper summarizes what has been done and published on the leading mollusc species cultured in the Philippines. Future research activities may be designed based on the research gaps to refine available technologies and develop new ones to improve culture production. The lack of or limited relevant information on the viable economics of the different culture techniques at different culture phases, the limited availability of post-harvest technologies, and the sparse or lack of genetic information for these leading mollusc species are among the gaps that need to be addressed. © 2023, The Author(s), under exclusive licence to Springer Nature Switzerland AG.",10.1007/s10499-023-01120-9,Review,Final,,Scopus,2-s2.0-85153366438
Rivera-Pérez C.; Ponce González X.P.; Hernández-Savedra N.Y.,Antimicrobial and anticarcinogenic activity of bioactive peptides derived from abalone viscera (Haliotis fulgens and Haliotis corrugata),2023,Scientific Reports,13,1,,,15185,"Bioactive peptides have been studied in several sources due to their valuable potential in the pharmaceutical and food industries. Abalone viscera, which are normally discarded as byproducts, are a rich source of protein. Thus, the aim of this study was to explore the potential bioactivity of peptides derived from abalone viscera (Haliotis fulgens and Haliotis corrugata) after hydrolysis with a commercial mixture of enzymes. The hydrolysates obtained were fractionated using gel filtration chromatography. The resulting hydrolysate fractions were investigated for their antimicrobial and cytotoxic activities, including the expression of gelatinases mmp-2 and mmp-9 in human prostate cancer cell lines (PC3). Results showed antimicrobial activity for protein fractions of H. corrugata against Proteus mirabilis and Pseudomona aeuroginosa (66.2–116.25 kDa), Bacillus subtilis (6.5–21.5 kDa), and Aspergillus niger (97.4–116.25 kDa), while H. fulgens peptide fractions (200–31 kDa) displayed activity against six bacterial strains, and fractions from 116.25 to 21.5 kDa had effects on the fungus A. niger, Alternaria alternata, and Aspergillus flavus. Additionally, protein fractions displayed cytotoxic activity, inhibiting 30.4–53.8% of PC3 cellular growth. Selected fractions decreased the PMA-induced and not-induced expressions of mmp-2 and mmp-9 in PC3 cells. Abalone viscera, as byproducts, can be used as a potential source of antimicrobial and anticancer peptides. © 2023, Springer Nature Limited.",10.1038/s41598-023-41491-w,Article,Final,All Open Access; Gold Open Access; Green Open Access,Scopus,2-s2.0-85171132547
Jeong S.-M.; Gunathilaka B.E.; Khosravi S.; Cho M.-U.; Kwak I.; Han Y.-S.; Lee S.-M.,"Effects of Sargassum horneri as a substitute for Undaria pinnatifida in high plant protein diet for juvenile Pacific abalone (Haliotis discus discus, Reeve 1846)",2023,Aquaculture Reports,30,,,,101607,"Sargassum horneri is an abundant seaweed causing golden tides on the southwestern coast of South Korea. Undaria pinnatifida is an edible and expensive seaweed conventionally used in abalone diets. The study was conducted to evaluate Sargassum horneri as a substitute for U. pinnatifida in high plant protein diets for juvenile Pacific abalone (Haliotis discus). Dried and ground U. pinnatifida and S. horneri were used for the experiment. Diets were formulated to contain 100 g kg-1 fish meal and 300 g kg-1 seaweed meal. Control diet (SA0) was prepared including 300 g kg-1 U. pinnatifida meal. Three other diets were designed to contain 100, 200, and 300 g kg-1 S. horneri (SA10, SA20, and SA30) by replacing U. pinnatifida meal from control. Triplicate groups of abalones stored in fifteen plastic baskets were hand-fed one of four experimental diets or dried U. pinnatifida once every other day for 16 weeks. Growth performance of abalone fed SA10 and SA20 diets were comparable to SA0 and U. pinnatifida groups. Hemolymph non-specific immune parameters were significantly higher in SA20 group compared to SA0 and U. pinnatifida groups (p ˂ 0.05). Moisture and lipid levels in edible portions of abalone fed S. horneri diets were significantly higher than in control (p ˂ 0.05). Water stability was higher in SA0 diet and gradually decreased with the increase of S. horneri meal in diets. After air exposure, abalone fed S. horneri diets exhibited higher survival than SA0 and U. pinnatifida groups. Therefore, S. horneri can be used to replace U. pinnatifida from abalone diets. The proper combination of U. pinnatifida and S. horneri meal in abalone diet containing a low level of FM appears to be approximately 100 and 200 g kg-1. © 2023",10.1016/j.aqrep.2023.101607,Article,Final,All Open Access; Gold Open Access,Scopus,2-s2.0-85160551359
Dai Q.; Cho S.H.,Chicken by-product meal as a replacement to fish meal in juvenile abalone (Haliotis discus hannai Ino 1952) feed,2023,Journal of the World Aquaculture Society,54,6,1482,1496,,"This study aims to assess the effect of replacing anchovy meal with chicken by-product meal (CBM) in juvenile abalone (Haliotis discus hannai) feed. Five diets were formulated to contain 0 (CBM0), 25 (CBM25), 50 (CBM 50), 75 (CBM75), and 100% (CBM100) CBM in replacement to 24% fish meal (FM). Dried Saccharina japonica, which is the natural food for this species of abalone was also prepared. Each diet was fed to triplicate groups of abalone. 1260 abalone assigned into eighteen cages were fed for 16 weeks. After the 16-week feeding trial, 30 abalones from each cage were exposed to air for 24 h, and survival was monitored for 7 days. Results showed that weight gain and specific growth rate of abalone fed the CBM0 (185.4 ± 12.83% and 0.93 ± 0.040%/day, respectively) diet were significantly (p < 0.04 for both) higher than those of abalone fed the CBM100 (139.0 ± 6.36% and 0.78 ± 0.024%/day, respectively) diet. Shell length and width of abalone fed the CBM0 diet were significantly (p < 0.003 and p < 0.02, respectively) longer and wider than those of abalone fed the CBM75 and CBM100 diets. Survival of abalone during the 7-day post-observation period after the 24-h air exposure exhibited no remarkable (p > 0.1 for Log Rank and Wilcoxon tests) difference among all formulated diets according to the analysis of the Kaplan–Meier survival curve. In conclusion, CBM can replace FM up to 50% in an abalone diet without compromising growth performance and survival. © 2023 The Authors. Journal of the World Aquaculture Society published by Wiley Periodicals LLC on behalf of World Aquaculture Society.",10.1111/jwas.12973,Article,Final,All Open Access; Gold Open Access,Scopus,2-s2.0-85153587300
Nivelais L.; Levallois A.; Basuyaux O.; Costil K.; Lebel J.-M.; Larsonneur S.; Guichard G.; Serpentini A.; Caplat C.,Effects on Growth of Juvenile Abalones Haliotis tuberculata Under Chronic Exposition to Metals Released from the Dissolution of an Aluminium-Based Galvanic Anode,2023,Archives of Environmental Contamination and Toxicology,84,1,32,44,,"In the marine environment, the galvanic anode cathodic protection system (GACP) undergoes oxidation and releases metals in the forms of ions or oxy-hydroxides into the environment. The objective of the present study was to investigate the toxicity of a cocktail of metals released from the dissolution of an aluminium-based galvanic anode (~ 95% Al, ~ 5% Zn) on the abalone Haliotis tuberculata. Juveniles were exposed for 16 weeks (i.e. 12 weeks of exposure and 4 weeks of decontamination phase) and their growth, intake rate, conversion rate and metallic concentrations were monitored. A total of 6 conditions were tested: a control, 4 concentrations based on Al and a trophic control. Results showed that the mortality reached 57% for individuals exposed to 1125 µg L−1 of Al, and the abalone growth significantly decreased for an Al concentration greater than 495 µg L−1. At the highest exposure concentration, intake rate measurements revealed that the appetite of abalones was affected, supported by the large increase in the conversion rate which was indicative of a poor feed efficiency. The monitoring of metallic concentrations showed that H. tuberculata strongly bioconcentrated Al relative to zinc. The diet did not appear to be the primary pathway for metal entry. Concentrations that significantly impacted abalone growth and survival during the experiment were higher than those found in natural environment, but the bioconcentration of Al into the tissues of a primary consumer such as abalone may be a potential pathway for Al to enter food webs. © 2022, The Author(s), under exclusive licence to Springer Science+Business Media, LLC, part of Springer Nature.",10.1007/s00244-022-00975-y,Article,Final,,Scopus,2-s2.0-85144657280
Ying X.; Chen W.; Chen Q.; Zhang X.; Xu N.; Sun X.,Differences between the wild-type and cultivated Gracilariopsis lemaneiformis revealed by quantitative proteome and gene expression profiling analysis,2023,Botanica Marina,66,5,437,451,,"The seaweed Gracilariopsis lemaneiformis is widely cultivated in the southern and northern coasts of China, and is mainly used for agar extraction and abalone feed. The cultivated strain of G. lemaneiformis 981 has various advantages over the wild type such as growth rate and high-temperature tolerance. Therefore, it is necessary to investigate the differences between the wild-type and cultivated G. lemaneiformis. Here, 648 up-regulated and 837 down-regulated proteins were screened using the isobaric tags for relative and absolute quantitation (iTRAQ) technique, and these differentially expressed proteins (DEPs) were concentrated in the pathways including ""Ribosome"", ""Photosynthesis-antenna proteins"", ""alpha-Linolenic acid metabolism"", and ""Phenylpropanoid biosynthesis"". The most prominent pathway was ""Ribosome"", namely, 116 out of 119 ribosome-associated proteins were up-regulated in G. lemaneiformis 981 compared to the wild type. Subsequently, multiple reaction monitoring (MRM) validated the credibility of the iTRAQ results. Finally, ""Phenylpropanoid biosynthesis""and ""Photosynthesis-antenna proteins""pathways were also found to be significantly changed in G. lemaneiformis 981 validated by gene expression profiling analysis. Altogether, these results, in combination with chlorophyll fluorescence parameters, unveiled the possible mechanism of differences in growth and anti-abiotic stresses between the wild-type and cultivated G. lemaneiformis, which would provide a reference for breeding of excellent seaweeds.  © 2023 Walter de Gruyter GmbH, Berlin/Boston.",10.1515/bot-2023-0012,Article,Final,,Scopus,2-s2.0-85174039296
Ni J.; Ren L.; Ma Y.; Xiong H.; Jian W.,Selenium nanoparticles coated with polysaccharide-protein complexes from abalone viscera improve growth and enhance resistance to diseases and hypoxic stress in juvenile Nile tilapia (Oreochromis niloticus),2023,Fish and Shellfish Immunology,134,,,,108624,"The use of selenium nanoparticles (SeNPs) in aquaculture has been increasing gradually over the past few years. SeNPs enhance immunity, are highly effective against pathogens, and have low toxicity. In this study, SeNPs were prepared using polysaccharide-protein complexes (PSP) from abalone viscera. The acute toxicity of PSP-SeNPs to juvenile Nile tilapia and their effect on growth performance, intestinal tissue structure, antioxidation capacity, hypoxic stress, and Streptococcus agalactiae infection were investigated. The results showed that the spherical PSP-SeNPs were stable and safe, with an LC50 of 13.645 mg/L against tilapia, which was about 13-fold higher than that of sodium selenite (Na2SeO3). A basal diet supplemented with 0.1–1.5 mg/kg PSP-SeNPs improved the growth performance of tilapia juveniles to a certain extent, increased the intestinal villus length, and significantly enhanced the activities of liver antioxidant enzymes, including superoxide dismutase (SOD), glutathione peroxidase (GSH-PX), and catalase (CAT). PSP-SeNPs also enhanced the resistance of tilapia to hypoxic stress and Streptococcus agalactiae infection, with supplementation at 0.1–0.3 mg/kg exerting more obvious effects than 1.5 mg/kg. However, PSP-SeNPs at a concentration of 4.5 mg/kg and Na2SeO3 at 0.3 mg/kg negatively affected the growth, gut health, and the activity of the antioxidant enzymes of tilapia. Quadric polynomial regression analysis revealed that 0.1–1.2 mg/kg was the optimal PSP-SeNP supplementation concentration for tilapia feeds. The findings of this study lay a foundation for the application of PSP-SeNPs in aquaculture. © 2023",10.1016/j.fsi.2023.108624,Article,Final,,Scopus,2-s2.0-85148671186
Kim M.J.; Kim J.A.; Lee D.-W.; Park Y.-S.; Kim J.-H.; Choi C.Y.,Oxidative Stress and Apoptosis in Disk Abalone (Haliotis discus hannai) Caused by Water Temperature and pH Changes,2023,Antioxidants,12,5,,,1003,"Ocean warming and acidification can induce oxidative stress in marine species, resulting in cellular damage and apoptosis. However, the effects of pH and water temperature conditions on oxidative stress and apoptosis in disk abalone are poorly understood. This study investigated, for the first time, the effects of different water temperatures (15, 20, and 25 °C) and pH levels (7.5 and 8.1) on oxidative stress and apoptosis in disk abalone by estimating levels of H2O2, malondialdehyde (MDA), dismutase (SOD), catalase (CAT), and the apoptosis-related gene caspase-3. We also visually confirmed apoptotic effects of different water temperatures and pH levels via in situ hybridization and terminal deoxynucleotidyl transferase dUTP nick end labeling assays. The levels of H2O2, MDA, SOD, CAT, and caspase-3 increased under low/high water temperature and/or low pH conditions. Expression of the genes was high under high temperature and low pH conditions. Additionally, the apoptotic rate was high under high temperatures and low pH conditions. These results indicate that changes in water temperature and pH conditions individually and in combination trigger oxidative stress in abalone, which can induce cell death. Specifically, high temperatures induce apoptosis by increasing the expression of the apoptosis-related gene caspase-3. © 2023 by the authors.",10.3390/antiox12051003,Article,Final,All Open Access; Gold Open Access; Green Open Access,Scopus,2-s2.0-85160674731
Wang R.; Chen H.; Fan W.; Yue P.; Zhang H.; Chen P.; Wu Z.; Mai K.; Zhang W.,"The growth performance, anti-oxidative capacity, immunity and resistance to heat stress of abalone Haliotis discus hannai can be improved by a mixture of herbs",2024,Aquaculture Reports,35,,,,101931,"An 84-day feeding trial was carried out to assess the effects of dietary Chinese herbs mixture (CHM) on the growth performance, anti-oxidative capacity, immunity and resistance to heat stress of abalone Haliotis discus hannai. The CHM included, Scutellariae Radix (Scutellaria baicalensis, Gardeniae Fructus (Gardenia jasminoides), Artemisiae Scopariae Herba (Artemisia capillaris), Uncariae Ramulus Cum Uncis (Uncaria rhynchophylla), Polygoni Cuspidati Rhizoma et Radix (Polygonum cuspidatum). Six diets containing 0.00% (control group), 0.02%, 0.04%, 0.06%, 0.08% and 0.10% of CHM were formulated and fed to abalone (initial weight: 3.59 ± 0.03 g). The group with 0.04% of dietary CHM exhibited the highest weight gain rate (WGR), while the survival was not significantly affected by dietary CHM. The optimal level of dietary CHM for abalone was determined to be 0.049% on the basis of the quadratic regression model for WGR. Dietary CHM significantly elevated the activities of lipase, trypsin, cellulase, Na+/K+-ATPase, acid phosphatase, alkaline phosphatase and lysozyme and total anti-oxidative capacity. Besides, dietary CHM significantly reduced the malondialdehyde content and alanine amino transferase activity. The mRNA levels of cationic amino acid transporter 1 (cat1) and nuclear factor erythroid 2-related factor 2 (nrf2) were significantly up-regulated in the group with 0.04% of dietary CHM. While the mRNA levels of kelch-like ECH-associated protein 1 (keap1), nuclear factor-κb (nf-κb) and tumor necrosis factor-α (tnf-α) were decreased in dietary CHM supplemented groups. The glucose and cortisol content in the CFH and the falling rate of abalone were significantly lower in the CHM supplemented groups than that in the control group. In conclusion, dietary supplementation of CHM improved the growth performance, anti-oxidative capacity, immunity and the resistance to heat stress of abalone. The recommended level of CHM supplemented in diets for abalone was 0.049%. © 2024",10.1016/j.aqrep.2024.101931,Article,Final,All Open Access; Gold Open Access,Scopus,2-s2.0-85182909114
Duncan M.I.; Micheli F.; Boag T.H.; Marquez J.A.; Deres H.; Deutsch C.A.; Sperling E.A.,Oxygen availability and body mass modulate ectotherm responses to ocean warming,2023,Nature Communications,14,1,,,3811,"In an ocean that is rapidly warming and losing oxygen, accurate forecasting of species’ responses must consider how this environmental change affects fundamental aspects of their physiology. Here, we develop an absolute metabolic index (ΦA) that quantifies how ocean temperature, dissolved oxygen and organismal mass interact to constrain the total oxygen budget an organism can use to fuel sustainable levels of aerobic metabolism. We calibrate species-specific parameters of ΦA with physiological measurements for red abalone (Haliotis rufescens) and purple urchin (Strongylocentrotus purpuratus). ΦA models highlight that the temperature where oxygen supply is greatest shifts cooler when water loses oxygen or organisms grow larger, providing a mechanistic explanation for observed thermal preference patterns. Viable habitat forecasts are disproportionally deleterious for red abalone, revealing how species-specific physiologies modulate the intensity of a common climate signal, captured in the newly developed ΦA framework. © 2023, The Author(s).",10.1038/s41467-023-39438-w,Article,Final,All Open Access; Gold Open Access; Green Open Access,Scopus,2-s2.0-85163745930
