Authors,Title,Year,Source.Title,Volume,Issue,Start.Page,End.Page,Article.Number,Abstract,DOI
"Jiang, YH; Huang, ZH; Ma, AJ; Cao, JW; Zhang, H; Zhao, YN; Hu, Y; Liu, M",Thermal tolerance of turbot based on cardiac performance and analysis of molecular regulatory mechanisms,2025,FISH PHYSIOLOGY AND BIOCHEMISTRY,51,3,,,101,"The heart is an important factor affecting the upper limit of thermal tolerance in fish, and plays a major role in their physiological plasticity and acclimation to different thermal conditions. Turbot (Scophthalmus maximus (L.)) is a cold-water marine fish, and in our previous studies, selecting a high-temperature resistant strain (HR) which increased the upper limit of high-temperature tolerance by more than 2 degrees C. The study evaluated the difference of the thermal tolerance between the high-temperature resistant strain (HR) and general group (GG) by using Arrhenius break temperatures (ABT). The ABT between them showed a significant difference that suggested different levels of thermal resistance. The result was consistent with assessments of upper thermal tolerance, as well as the activity of creatine kinase and lactate dehydrogenase. Meanwhile, the key genes regulating cardiac performance were analyzed in molecular level. Quantitative real-time PCR results demonstrated that the RNA expression of beta-ARs in the heart at increasing temperature followed an upward trend. However, the expression of mmp2, timp2, fosa, and pcna genes in the heart decreased. Additionally, western blot results demonstrated that the levels of beta 1-AR and beta 3-AR protein expression steadily increased. Overall, in response to acute thermal stress, the primary effector genes in the beta-AR signalling pathway were beta-ARs. Our study identified an effective and accurate measurement for evaluating the turbot's thermal tolerance and initially explored the molecular mechanisms that regulate cardiac performance under thermal stress. These would be greatly beneficial in aquaculture and breeding projects of turbot.",10.1007/s10695-025-01518-7
"Udayantha, HMV; Godahewa, GI; Bathige, SDNK; Wickramaarachchi, WDN; Umasuthan, N; De Zoysa, M; Jeong, HB; Lim, BS; Lee, J",A molluscan calreticulin ortholog from Haliotis discus discus: Molecular characterization and transcriptional evidence for its role in host immunity,2016,BIOCHEMICAL AND BIOPHYSICAL RESEARCH COMMUNICATIONS,474,1,43,50,,"Calreticulin (CALR), a Ca2+ binding chaperone of the endoplasmic reticulum (ER) and mainly involved in Ca2+ storage and signaling. In this study, we report the molecular characterization and immune responses of CALR homolog from disk abalone (AbCALR). The full length AbCALR cDNA (1837 bp) had an ORF of 1224 bp. According to the multiple alignments analysis, N- and P-domains were highly conserved in all the selected members of CALRs. In contrast, the C-domain which terminated with the characteristic ER retrieval signal (HDEL) was relatively less conserved. The phylogenetic analysis showed that all the selected molluscan homologs clustered together. Genomic sequence of AbCALR revealed that cDNA sequence was dispersed into ten exons interconnected with nine introns. AbCALR mRNA expression shows the significant (P < 0.05) up-regulation of AbCALR transcripts in hemocytes upon bacterial (Listeria monocytogenes and Vibrio parahaemolyticus), viral (Viral haemorrhagic septicaemia virus; VHSV) and immune stimulants (LPS and poly I:C) challenges at middle and/or late phases. These results collectively implied that AbCALR is able to be stimulated by pathogenic signals and might play a potential role in host immunity. (C) 2016 Elsevier Inc. All rights reserved.",10.1016/j.bbrc.2016.04.056
"Peng, WZ; Yu, F; Wu, YY; Zhang, YF; Lu, CK; Wang, Y; Huang, ZK; Lu, YS; Chen, N; Luo, XA; You, WW; Ke, CH",Identification of growth-related SNPs and genes in the genome of the Pacific abalone (Haliotis discus hannai) using GWAS,2021,AQUACULTURE,541,,,,736820,"The Pacific abalone, Haliotis discus hannai, is the economically important aquaculture species along coast regions of southeast China. However, the slow growth of abalone species impedes the health development of the abalone farming industry. In this study, the genome-wide association study (GWAS) for the growth related traits in Pacific abalone was performed. Genetic parameters of 10 growth-related traits in 222 individuals of the Pacific abalone were estimated by using 1,431,014 single nucleotide polymorphisms (SNPs) detected by whole genome resequencing (WGS). A total of 263 significant SNPs associated with growth traits were identified. Seven of these SNPs were further shown to be reliable growth-associated markers in a new validation population containing 1059 samples. In addition, 62 genes, including fgfr2, bmp7, cubn, rala, gpam, and adamts9, harboring significant markers were considered candidate genes, which may affect growth-related traits associated with various biological processes, such as cell proliferation, glycometabolism, and lipid metabolism. Our results will not only improve our understanding of the genetic architecture of abalone growth traits but also provide valuable SNPs for the marker-assisted selection and breeding of the Pacific abalone.",10.1016/j.aquaculture.2021.736820
"Hansen, SC; Gosselin, LA","Do predators, handling stress or field acclimation periods influence the survivorship of hatchery-reared abalone Haliotis kamtschatkana outplanted into natural habitats?",2013,AQUATIC CONSERVATION-MARINE AND FRESHWATER ECOSYSTEMS,23,2,246,253,,"Northern abalone (Haliotis kamtschatkana) in British Columbia, Canada, are listed as endangered and are protected from fishing, yet their populations continue to decline. It is suspected that supplementation of wild populations with hatchery-reared abalone will be necessary for the recovery of this species. This study examines the magnitude, timing, and causes of post-outplanting mortality of hatchery-reared late-juvenile northern abalone. Abalone survivorship declined precipitously following outplanting, with 83% of abalone surviving 24 h after release and only 34% surviving 2 weeks in the wild. Handling, tagging, and temperature variations experienced during the outplanting procedure did not cause mortality. The majority of the abalone mortality in this study was attributable to predators. Additional factors accounted for only 12% mortality over 7 d. A 1-week acclimatization period within predator exclosures did not improve subsequent survival of outplants. These results demonstrate that the ouplanting of hatchery-reared abalone as a method of restoring wild populations of this endangered species is primarily constrained by high mortality during the first few days after outplanting, and that almost all of this early mortality is caused by predation. Predation mortality will therefore have to be overcome if outplanting of hatchery-reared juvenile abalone is to be an effective restoration strategy.Copyright (c) 2013 John Wiley & Sons, Ltd.",10.1002/aqc.2315
"Chick, RC","BATCH-TAGGING BLACKLIP ABALONE (HALIOTIS RUBRA) FOR IDENTIFICATION OF HATCHERY-REARED INDIVIDUALS ON NATURAL COASTAL REEFS IN NEW SOUTH WALES, AUSTRALIA",2010,JOURNAL OF SHELLFISH RESEARCH,29,1,209,215,,"The identification of hatchery-reared larvae and juveniles is fundamental to assessing the success of their release when restocking. Hatchery-reared Haliotis rubra larvae and juveniles were successfully batch-tagged with distinct and persistent marks, enabling unambiguous differentiation from wild conspecifics when recaptured. Larvae were batch-tagged with the epifluorescent dye calcein. Experiments demonstrated that the batch-tagged larval shell was clearly visible in the spire of juvenile shells after 260 days. The recapture of batch-tagged and released larvae from natural reefs after 533 days at liberty also confirmed the persistence of this tag. A reliable and cost-effective method for batch-tagging juveniles was achieved with the use of an artificial diet that resulted in a distinctive blue-green coloration of the shell. This coloration differentiated released juveniles from wild conspecifies, was easily observed with the naked eye, and persisted on the spire of individuals for 777 days at liberty. These batch-tagging protocols allow large numbers of H. rubra larvae and juveniles to be distinctly tagged for long periods of time, enabling reliable estimation of survival after release and individual growth. It is likely that these techniques could also be applied to other abalone species.",10.2983/035.029.0117
"Arai, T; Maeda, M; Yamakawa, H; Kamatani, A; Miyazaki, N",Growth effect on the uptake and elimination of trace metals in the abalones Haliotis,2002,FISHERIES SCIENCE,68,5,1094,1098,,"In order to determine trace metal (cadmium, copper, lead, manganese and zinc) levels in muscles in relation to organism growth, abalones Haliotis at various stages from Japanese coastal regions were collected and analyzed. Concentrations of Cd and Pb, two non-essential metals, in the muscles of abalones decreased as the organisms became older. In addition, no significant difference was apparent in Cu, Mn, and Zn concentrations, three essential metals, with increases in shell length (age), although a close negative linear relationship with growth was observed in Zn in one habitat. These results indicate that abalone has an ability to differentiate those metals and develops this ability as the organism became older. This effect appears to be almost consistent, despite habitat variation in the genus Haliotis.",10.1046/j.1444-2906.2002.00537.x
"ERASMUS, J; COOK, PA; SWEIJD, N","INTERNAL SHELL STRUCTURE AND GROWTH LINES IN THE SHELL OF THE ABALONE, HALIOTIS-MIDAE",1994,JOURNAL OF SHELLFISH RESEARCH,13,2,493,501,,"The internal shell structure of the South African abalone, Haliotis midae, was studied using scanning electron microscopy. Growth lines were counted. The shell consists of the periostracum, prismatic, and nacreous layers. The outer, noncalcified periostracum consists of a single, honeycombed layer. Calcified layers include a simple prismatic and a nacreous layer, the latter being composed of sheet nacre, which is uncharacteristic of gastropods. Growth lines were deposited in the nacreous layer of animals, even under controlled laboratory conditions. In animals of known age, three lines were deposited in the first year and one in each subsequent year. Rate of deposition of lines was not related to diet, temperature, or photoperiod.",
"Hirata, H","Systematic aquaculture: yesterday, today, and tomorrow",2002,FISHERIES SCIENCE,68,,829,834,,"The harmonization between aquaculture developments and the conservation of aquatic environments is the key to sustaining aquaculture. One of the obstacles to this harmonization is the negative economic relationship between developments and conservation. In order to sustain a systematic aquaculture, we need to establish benefits for both the human economy and the biological economy. The polyculture of Ulva and fish has been conducted by our group since 1964, with differing intents. Sakai was able to develop an abalone culture that fed on the Ulva cultured in the fish farm, and these mollusks produced green pearls as a byproduct of this fish culture. In that way, human profit was harmonized with the biological economy. The whole aqua-crop ensilage (WACE) system has been lectured by Hirata since 1999. The fish culture introduces nutrients into the sea. The nutrients contribute to the growth of sessile organisms. Whole organisms are harvested and ensilaged to produce the probiotic feed. This feed is mixed with routine fish feed. Ruminated culture will also be applied for byproducing the rotifer in culture of fish. These systems will be developed in the future.",10.2331/fishsci.68.sup1_829
"Lopez, RZB; Mendiola, JY; González, MTS",Branchial Motion Assessment in Abalone Using Photoplethysmography,2023,AQUACULTURE RESEARCH,2023,,,,6672198,"The abalone, a gastropod mollusk belonging to the Haliotidae family, has been a subject of research with a focus on its behavior in response to various environmental factors, including temperature fluctuations and hypoxia. While existing studies have primarily explored abalone behavior in relation to environmental changes, there remains a significant amount to be discovered regarding their behavioral patterns. There are studies in which recordings of readings have been made (indirect methods) of the heart rate of the abalone since it is believed that it is one of the parameters affected due to the changes in temperature and dissolved oxygen in its environment. The main disadvantage of some procedures to measure heart rate in abalone is that an incision is made near the heart, through this incision the measurement is made using the photoplethysmography technique. Another parameter that is affected by these changes (temperature and hypoxia) is respiratory rate. Temperature is an important factor that can reduce oxygen solubility and thus alter abalone respiration; so in this work, we propose to use the technique of photoplethysmography: a method involving the measurement of changes in volume within a biological organ, which offers a unique opportunity to monitor these changes. We adapt this technique to measure gill movements in abalone, a critical indicator of respiratory activity in these marine mollusks. By utilizing a pulse oximetry setup and synchronous detection, we establish an innovative approach to gill movement analysis. This approach employs a pulse train and synchronous demodulation technique, the train of pulses is guided through an optical fiber to one of the respiratory orifices of the abalone to effectively detect and analyze the gill movements of abalone. Additionally, the role of frequency of its gill movements is highlighted as another critical variable of interest within the broader study of Haliotis fulgens, shedding light on the multifaceted nature of abalone behavior and responses to their surroundings. This research contributes to a deeper understanding of abalone physiology and behavior, offering insights into their adaptation to changing environmental conditions.",10.1155/2023/6672198
"Gao, XL; Zhang, M; Li, X; Song, CB; Liu, Y",Physiological metabolism of Haliotis discus hannai Ino under different light qualities and cycles,2017,AQUACULTURE RESEARCH,48,7,3340,3355,,"The goal of this experiment was to examine the effects of different light qualities (red, white, blue) and cycles (12L:12D, 8L:16D, 4L:20D, 0L:24D, 16L:8D) on the survival, growth, metabolism and antioxidant defence system of Haliotis discus hannai Ino. Under red and white light at 4L:20D, the body weight-specific growth rate of abalones was significantly higher than that of the 0L:24D group (P<0.05). At 16L:8D, succinate dehydrogenase activity decreased and lactate dehydrogenase and alanine aminotransferase activity and the lactic acid content significantly rose (P<0.05) in the red and white light groups. Under blue light, reactive oxygen species and malondialdehyde content for each light cycle were significantly higher than those of the red and white groups (P<0.05). Under blue, white and red light, total antioxidant capacity (T-AOC), superoxide dismutase (SOD) activity, glutathione peroxidase (GP(X)) activity and reduced glutathione (GSH) content gradually rose with increased duration of light exposure. Under red light, significant differences in these parameters were detected between the 4L:20D and 16L:8D groups (P<0.05). Under blue and white light at 16L:8D, values of T-AOC, SOD, GP(X) activity and GSH content were significantly lower than those of the 12L:12D group (P<0.05). Overall, these results indicate that red light at light cycles of 4L:20D and 8L:16D is optimal for the culture and production of H. discus hannai, as these conditions promoted food intake, growth and health maintenance as well as normal physiological metabolism of the organism.",10.1111/are.13162
